id,fecha,nombre,tipoAccion,modulo,numRegistros,idPlantillaCorreo,idPlantillaWhatsapp,idPlantillaWord,orden,tipoEnvio,tipoFormato,idFormulario,idEscala,favorita,periodicidadEnvio,horaEnvio,diasEnvio,fechaEnvio,icodopeCuenCorreo,ilineaCuenCorreo,numexcedidos,numconrespuesta
1,2024-11-12 00:00:00,Citas Pendientes de Confirmar Mañana,2,0,0,,31,,1,1,0,,,False,,,,,,,,
2,2024-11-12 00:00:00,Citas Pendientes de Confirmar Próx. 7 días,2,0,0,,31,,2,1,0,,,False,,,,,,,,
3,2024-11-12 00:00:00,Pacientes con LOPD Pendiente,3,37,16,,23,318,3,1,1,,,False,,,,,,,,
4,2024-11-12 00:00:00,Pacientes con LOPD firmada año anterior,3,37,0,,23,318,4,1,1,,,False,,,,,,,,
5,2024-11-12 00:00:00,Pacientes con Cobros Vencidos No Cobrados,2,5,9,,33,,5,1,0,,,False,,,,,,,,
6,2024-11-12 00:00:00,Pacientes sin citas en los últimos 365 días,2,37,6,,37,,6,1,0,,,False,,,,,,,,
7,2024-11-12 00:00:00,Pacientes Sin Correo Electrónico,2,37,3,,37,,7,1,0,,,False,,,,,,,,
8,2024-11-12 00:00:00,Felicitación de Cumpleaños,2,37,0,,46,,8,1,0,,,False,,,,,,,,
9,2024-11-12 00:00:00,Pacientes Sin Acceso Clientes,1,37,15,52,,,9,0,0,,,False,,,,,,,,
10,2025-09-11 00:00:00,,2,0,10,,,,0,1,0,,,,,,,,,,,
11,2025-09-11 00:00:00,Recordatorio Cita,2,0,11,,200000016,,0,1,0,,,,,,,,,,,
12,2025-10-07 00:00:00,Recordatorio Cita,2,0,22,,200000016,,0,1,0,,,,,,,,,,,
13,2025-12-09 00:00:00,,2,0,33,,,,0,1,0,,,,,,,,,,,
14,2026-01-02 00:00:00,Recordatorio Cita,2,0,14,,48,,0,1,0,,,,,,,,,,,
15,2026-01-02 00:00:00,Recordatorio Cita,2,0,9,,48,,0,1,0,,,,,,,,,,,
16,2026-01-02 00:00:00,Recordatorio Cita,2,0,12,,48,,0,1,0,,,,,,,,,,,
17,2026-01-02 00:00:00,Recordatorio Cita,2,0,11,,200000016,,0,1,0,,,,,,,,,,,
