id,nombre,valor
1,code128,False
2,verContadorHistorial,False
3,BVERFINANCIADOR,False
4,bverControlesMedicos,False
5,VerPestanaBonos,True
7,VerProcesosAuto,False
8,bCobroDesCon,False
9,VerSistemaBonos,True
10,ean8,False
11,ean13,True
12,code39,False
13,bvericocobroage,True
14,bVerImagenes,False
15,VerFotoFicha_Paciente,True
16,bverfactfvto,True
17,bvertraspasoparcial,False
18,baltafacturasgrid,False
19,bVerDiagnosticos,False
20,bveralmacen,False
21,bverdctolinea2,False
22,bdctotipoart,False
23,bverimpcita,True
24,bverarqueo,False
25,bAsignaUsuPot,False
26,basoactumutua,True
27,bverarttipomed,True
28,verImgDeudaAgd,True
29,VerTabArticulosSegCli,False
30,bfactagendadef,True
31,bfactodontdef,True
33,bvercontrolclientes,False
34,bvercontrolpotenciales,False
37,bvercontrolventas,False
39,bVerDiagnosticos_Paciente,True
40,bverdocuminterna,False
42,VerPestanaBonos_Trabajador,False
43,VerPestanaBonos_Potencial,False
44,VerPestanaBonos_Tercero,False
46,VerPestanaBonos_Compañía,False
47,VerPestanaBonos_Mascota,False
48,VerPestanaBonos_Mutua,True
49,VerPestanaBonos_Proveedor,False
50,VerPestanaBonos_Voluntario,False
51,VerPestanaBonos_Financiador,False
52,VerPestanaBonos_Tercera Edad,False
53,bverexppredef,True
54,bverhorariolab,False
55,bnoanadircontact,False
56,bverbtnpresuventanamodif_Cliente,False
57,bverbtnpresuventanamodif_Trabajador,False
58,bverbtnpresuventanamodif_Potencial,False
59,bverbtnpresuventanamodif_Tercero,False
60,bverbtnpresuventanamodif_Paciente,False
61,bverbtnpresuventanamodif_Alumno,False
62,bverbtnpresuventanamodif_Compañía,False
63,bverbtnpresuventanamodif_Mascota,False
64,bverbtnpresuventanamodif_Mutua,False
65,bverbtnpresuventanamodif_Proveedor,False
66,bverbtnpresuventanamodif_Voluntario,False
67,bverbtnpresuventanamodif_Financiador,False
68,bverbtnpresuventanamodif_Tercera Edad,False
69,bverbtncobroventanamodif_Alumno,True
70,bverbtncobroventanamodif_Paciente,False
71,bactivatotcobro,True
72,agendaseg,True
73,bverhonopredef,True
74,bverbtncobrarhis,True
75,bveropcimpactu,True
76,bverlopd,True
77,bversegclider,True
78,bimportaractsinfecha,True
79,bverpestconcepcobro,True
