idcampo,origen,nombre,etiqueta
1,expedien,codsubusu,Usuario
2,expedien,codjuzga,Juzgado
3,expedien,dfechacierre,Fecha Cierre
4,expedien,descripcion,Descripcion
5,expedien,codcliente,Cliente
6,expedien,codabopro,Procurador Propio
7,expedien,codpropro,Abogado Propio
8,expedien,codcontrario,Contrario
9,expedien,campo21,
10,expedien,campo22,
11,expedien,campo23,
12,expedien,campo24,
13,expedien,campo25,
14,expedien,campo26,
15,expedien,campo27,
16,expedien,campo28,
17,expedien,campo29,
18,expedien,campo30,
19,expedien,campo31,
20,expedien,campo32,
21,expedien,campo33,
22,expedien,campo34,
23,expedien,campofecha13,
24,expedien,campofecha14,
25,expedien,campofecha15,
26,expedien,campofecha16,
27,expedien,campofecha17,
28,expedien,campofecha18,
29,expedien,campofecha19,
30,cliente_1,snombrecli,Nombre
31,cliente_1,snifcli,NIF/CIF
32,cliente_1,codigo,Número
33,cliente_1,sdomiciliocli,Dirección
34,cliente_1,spoblacioncli,Población
35,cliente_1,scodpostalcli,Código Postal
36,cliente_1,sprovinciacli,Provincia
37,cliente_1,fechanacimiento,Fecha Nacimiento
38,cliente_1,edad,Edad
39,cliente_1,email,Correo Electrónico
40,cliente_1,stelefonocli,Teléfono 1
41,cliente_1,telefono2,Teléfono 2
42,cliente_1,smovilcli,Móvil
43,cliente_1,sfaxcli,Fax
44,cliente_1,tipofichero,Tipo Trabajador
45,cliente_1,estadoCli,Estado
46,cliente_1,fechaalta,Fecha Alta
47,cliente_1,fechaBaja,Fecha Baja
48,cliente_1,pagweb,Página Web
49,cliente_1,sNombrePais,País
50,cliente_1,telefono3,Teléfono 3
51,cliente_1,backcolor,Color
52,cliente_1,CodSubUSu,Usuario
53,cliente_1,especialidad,Especialidad
54,cliente_1,numcolegiado,Núm. Colegiado
55,cliente_1,dpto,Departamento
56,cliente_1,mascotasexo,Sexo
57,cliente_1,estadoLOPD,LOPD
58,cliente_1,comComerciales,Comunicaciones Comerciales
59,cliente_1,Campo0101,Fuente de contacto
60,cliente_1,Campo0102,Fecha de primer contacto
61,cliente_1,Campo0103,Código Postal
62,cliente_1,Campo0201,Comunicaciones comerciales
63,cliente_1,Campo0202,Documento LOPD
64,cliente_1,Campo0203,Trato preferente
65,cliente_1,Campo0204,Servicios de interés
66,cliente_1,Campo0301,Nivel de satisfacción
67,cliente_1,Campo0302,Recomendaciones
68,cliente_1,Campo0303,Reclamaciones
