id,icodcli,codOpe,numUsuarios,modulo,fecha,tiempoUso,nombreEquipo
3831,1227679,1,10,Agenda,2026-01-05 12:21:17.510000,5,DESKTOP-D72E0H9
3832,1227679,1,10,MNProgram,2026-01-05 12:21:17.510000,5,DESKTOP-D72E0H9
3833,1227679,1,10,Agenda,2026-01-05 21:09:36.807000,5,DESKTOP-D72E0H9
3834,1227679,1,10,Agenda,2026-01-06 20:24:27.543000,5,DESKTOP-D72E0H9
3835,1227679,1,10,MNProgram,2026-01-07 11:43:41.903000,5,DESKTOP-D72E0H9
3836,1227679,1,10,Agenda,2026-01-07 12:04:12.990000,5,DESKTOP-D72E0H9
3837,1227679,1,10,Agenda,2026-01-07 12:14:13.290000,5,DESKTOP-D72E0H9
3838,1227679,1,10,Agenda,2026-01-07 12:19:13.403000,5,DESKTOP-D72E0H9
3839,1227679,1,10,Agenda,2026-01-07 13:13:05.097000,5,DESKTOP-D72E0H9
3840,1227679,1,10,Agenda,2026-01-07 14:13:17.630000,5,DESKTOP-D72E0H9
3841,1227679,1,10,Agenda,2026-01-07 14:18:17.717000,5,DESKTOP-D72E0H9
3842,1227679,1,10,Agenda,2026-01-07 15:13:03.563000,5,DESKTOP-D72E0H9
3843,1227679,1,10,Agenda,2026-01-07 16:20:14.493000,5,DESKTOP-D72E0H9
3844,1227679,1,10,Agenda,2026-01-07 17:04:57.530000,5,DESKTOP-D72E0H9
3845,1227679,1,10,MNProgram,2026-01-07 17:04:57.530000,5,DESKTOP-D72E0H9
3846,1227679,1,10,Agenda,2026-01-07 17:09:57.733000,5,DESKTOP-D72E0H9
3847,1227679,1,10,Agenda,2026-01-07 17:14:57.860000,5,DESKTOP-D72E0H9
3848,1227679,1,10,Pacientes,2026-01-07 17:14:57.530000,5,DESKTOP-D72E0H9
3849,1227679,1,10,MNProgram,2026-01-07 17:19:57.933000,5,DESKTOP-D72E0H9
3850,1227679,1,10,Agenda,2026-01-07 17:19:57.933000,5,DESKTOP-D72E0H9
3851,1227679,1,10,Pacientes,2026-01-07 17:19:58.313000,5,DESKTOP-D72E0H9
3852,1227679,1,10,Agenda,2026-01-07 17:24:58.120000,5,DESKTOP-D72E0H9
3853,1227679,1,10,Agenda,2026-01-07 17:29:58.360000,5,DESKTOP-D72E0H9
3854,1227679,1,10,Agenda,2026-01-07 17:34:58.470000,5,DESKTOP-D72E0H9
3855,1227679,1,10,Agenda,2026-01-07 17:44:58.587000,5,DESKTOP-D72E0H9
3856,1227679,1,10,Agenda,2026-01-07 17:49:58.690000,5,DESKTOP-D72E0H9
3857,1227679,1,10,Agenda,2026-01-07 18:40:03.720000,5,DESKTOP-D72E0H9
3858,1227679,1,10,Agenda,2026-01-07 18:45:03.910000,5,DESKTOP-D72E0H9
3859,1227679,1,10,Agenda,2026-01-07 18:50:04.003000,5,DESKTOP-D72E0H9
3860,1227679,1,10,Agenda,2026-01-07 18:55:04.100000,5,DESKTOP-D72E0H9
3861,1227679,1,10,MNProgram,2026-01-07 20:20:03.623000,5,DESKTOP-D72E0H9
3862,1227679,1,10,Agenda,2026-01-07 20:23:15.660000,5,DESKTOP-D72E0H9
3863,1227679,1,10,MNProgram,2026-01-07 20:25:03.910000,5,DESKTOP-D72E0H9
3864,1227679,1,10,Agenda,2026-01-08 13:41:37.530000,5,DESKTOP-D72E0H9
3865,1227679,1,10,Agenda,2026-01-09 14:01:58.867000,5,DESKTOP-D72E0H9
3866,1227679,1,10,Agenda,2026-01-09 14:21:59.363000,5,DESKTOP-D72E0H9
3867,1227679,1,10,Agenda,2026-01-09 18:15:49.500000,5,DESKTOP-D72E0H9
3868,1227679,1,10,Agenda,2026-01-09 19:03:17.513000,5,DESKTOP-D72E0H9
3869,1227679,1,10,Agenda,2026-01-09 20:41:08.510000,5,DESKTOP-D72E0H9
3870,1227679,1,10,Agenda,2026-01-09 21:16:08.597000,5,DESKTOP-D72E0H9
3871,1227679,1,10,Agenda,2026-01-09 21:41:08.690000,5,DESKTOP-D72E0H9
3872,1227679,1,10,Agenda,2026-01-12 12:13:42.743000,5,DESKTOP-D72E0H9
3873,1227679,1,10,Agenda,2026-01-12 12:18:43.117000,5,DESKTOP-D72E0H9
3874,1227679,1,10,Agenda,2026-01-12 13:08:43.410000,5,DESKTOP-D72E0H9
3875,1227679,1,10,MNProgram,2026-01-12 13:15:33.883000,5,DESKTOP-D72E0H9
3876,1227679,1,10,Pacientes,2026-01-12 13:15:49.063000,5,DESKTOP-D72E0H9
