numcta,descripcion,nif,numerolargo,domicilio,poblacion,provincia,codpostal,nacionalidad,telefono1,telefono2,telefono3,fax,movil,email,pagweb,cuentabanco,notas,idiva,claseiva,recargo,igic,idirpf,tipoirpf,IBAN,idmotivoexento,idmotivonoexento,EsServicio,EsBC,EsBI,EsExento,EsNoExento,vigente,pais,idmotivonosujeto,EsNoSujeto,cuentaregul,area,IPSI
100,Capital social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1000000000,Capital social,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
101,Fondo social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1010000000,Fondo social,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
102,Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1020000000,Capital,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
103,Socios por desembolsos no exigidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1030000000,"Socios por desembolsos no exigidos, capital social",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1034000000,"Socios por desembolsos no exigidos, capital pendiente de inscripción",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
104,Socios por aportaciones no dinerarias pendientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1040000000,"Socios por aportaciones no dinerarias pendientes, capital social",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1044000000,"Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
108,Acciones o participaciones propias en situaciones especiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1080000000,Acciones o participaciones propias en situaciones especiales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
109,Acciones o participaciones propias para reducción de capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1090000000,Acciones o participaciones propias para reducción de capital,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
110,Prima de emisión o asunción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
