id_linedcto,id_tabla,query,consulta,datasource
107,1,qrydirector,"select *,cast(datepart(dd,getdate()) as varchar) +'/'+ cast(datepart(mm,getdate()) as varchar) +'/'+ cast(datepart(yyyy,getdate()) as varchar) as fechaimpresion from director where icodprocu=:icodprocu",
107,20,qrycolabora,"select colabora.snombrecol,colabora.snifcol,colabora.sdomiciliocol,colabora.spoblacioncol,colabora.scodpostalcol,colabora.sprovinciacol,colabora.stelefonocol,colabora.telefono2,colabora.smovilcol,colabora.sfaxcol,colabora.email,colabora.pagweb from colabora where codcolab=:codcolab",
107,21,qrycontacto,"select contacto.nombre,contacto.telefono1,contacto.email1 from colabora inner join contactlin on colabora.codcolab = contactlin.icodcolab inner join contacto on contactlin.icodcontacto = contacto.codcontacto where colabora.codcolab=:codcolab",
108,1,qrydirector,"select *,cast(datepart(dd,getdate()) as varchar) +'/'+ cast(datepart(mm,getdate()) as varchar) +'/'+ cast(datepart(yyyy,getdate()) as varchar) as fechaimpresion from director where icodprocu=:icodprocu",
108,21,qrycontacto,"select contacto.nombre,contacto.nif,contacto.domicilio,contacto.poblacion,contacto.codpostal,contacto.provincia,contacto.telefono1,contacto.telefono2,contacto.movil,contacto.fax,contacto.email1,contacto.pagweb from contacto where codcontacto=:codcontacto",
127,1,qrydirector,"select *,cast(datepart(dd,getdate()) as varchar) +'/'+ cast(datepart(mm,getdate()) as varchar) +'/'+ cast(datepart(yyyy,getdate()) as varchar) as fechaimpresion from director where icodprocu=:icodprocu",
127,21,qrycontacto,"select contacto.nombre,contacto.telefono1,contacto.email1 from organism inner join contactlin on organism.codorgan= contactlin.icodorgan inner join contacto on contactlin.icodcontacto = contacto.codcontacto where organism.codorgan=:codorgan",
127,29,qryorganism,"select organism.nombre,organism.cif,organism.domicilio,organism.poblacion,organism.codpostal,organism.provincia,organism.telefono,organism.telefono2,organism.telefono3,organism.fax,organism.email,organism.pagweb from organism where codorgan=:codorgan",
184,1,qrydirector,"select *,cast(datepart(dd,getdate()) as varchar) +'/'+ cast(datepart(mm,getdate()) as varchar) +'/'+ cast(datepart(yyyy,getdate()) as varchar) as fechaimpresion from director where icodprocu=:icodprocu",
184,4,qrycli,"select clientes.snombrecli,convert(char(8), dateadd(second, tiempo, ''), 114) as tiempo from exclipro left join clientes on exclipro.icodcli=clientes.icodcli where exclipro.inumexp=:inumexp and exclipro.iyear=:iyear and clientes.tipobd=0",
184,24,qryexp,"select expedien.dfechaalta,expedien.expediente,expedien.iyear,expedien.descripcion,convert(char(8), dateadd(second, tiempo, ''), 114) as tiempo, (isnull(fcuantia,0) + isnull(intereses,0) + isnull(costas,0)) as totalcuantia from expedien where inumexp=:inumexp and iyear=:iyear",
184,37,qrysubusu,select subusu.nombre from subusu  left join expedien on subusu.icodsubusu=expedien.codsubusu where inumexp=:inumexp and iyear=:iyear,
185,1,qrydirector,"select *,cast(datepart(dd,getdate()) as varchar) +'/'+ cast(datepart(mm,getdate()) as varchar) +'/'+ cast(datepart(yyyy,getdate()) as varchar) as fechaimpresion from director where icodprocu=:icodprocu",
185,4,qrycli,"select clientes.snombrecli,clientes.stelefonocli,convert(char(8), dateadd(second, tiempo, ''), 114) as tiempo from exclipro left join clientes on exclipro.icodcli=clientes.icodcli where exclipro.inumexp=:inumexp and exclipro.iyear=:iyear and clientes.tipobd=0",
185,24,qryexp,"select expedien.expediente,expedien.iyear,expedien.dfechaalta,expedien.descripcion,expedien.srefabogado,expedien.srefcliente,convert(char(8), dateadd(second, tiempo, ''), 114) as tiempo, (isnull(fcuantia,0) + isnull(intereses,0) + isnull(costas,0)) as totalcuantia from expedien where inumexp=:inumexp and iyear=:iyear",
185,25,QryTipoProcedi,select procedi.procedimiento from procedi  left join expedien on procedi.codproce=expedien.codproce where inumexp=:inumexp and iyear=:iyear,
