id,descripcion,fecha,horaini,tiempo,notas,horafin,tipoturno,referencia,idcentros,idperiodica,icodcli,disponibilidad,horaini2,horafin2,backcolor,diacompleto
273,Día,2021-01-01 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
274,Día,2021-01-04 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
275,Día,2021-01-05 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
276,Día,2021-01-06 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
277,Día,2021-01-07 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
278,Día,2021-01-08 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
279,Día,2021-01-11 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
280,Día,2021-01-12 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
281,Día,2021-01-13 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
282,Día,2021-01-14 00:00:00,1899-12-30 08:30:00,28800,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",1899-12-30 16:30:00,Día,D,,273,18,1,,,,
