icodcli,tipobd,baja,dormidoHistorial,dormidoEconomico,totalCobrado,saldoPendiente,saldoVencidoNoCobrado,fechaProximoCobro,totalFacturacion,numActuaciones,tiempoAct,totalCosteAct,diasSinAct,diasUltimoCobro,diasMorosidad,numActRetrasadas,oportunidadesAbiertas,dormidoOportunidad,proximoVencimiento,fechaUltimaActuacion,diasActivo,numExpedientes,numClientes,satisfaccion,ultimaValoracion,participacionEncuestas,reclamacion,incidencias,comunicaciones,informesPendientes,fechaProximaActuacion,ausencias,asistencias,materialPendiente,matriculas,reservas,fecha,totalTratamientos,totalCobrosTratamientos,numCanceladas,numCancelConAviso,numCancelSinAviso,numCancelAplazada,numTotalActuaciones,tiempousoTotal,tiempousoUsuario,totalCobradoExp,totalProvisionesExp,totalCosteExp,obligacionesPendientes,obligacionesRealizadas,descripcionultimaactu,descripcionproximaactu,totalCobrosMutua,numExpedientesAbiertos,saldoVencidoNoCobradoExp,totalFacturacionExp,totalBaseImponible,totalBaseImponibleExp,TRtiempoReal,importeTarifa,importeRenovacionUlt,espacioBackupCloud,numCursosInteresado,numCursosBaja,fechaUltimaOporAbierta,edadUltimaLlamada,edadUltimoContacto,numTareas,tieneCorreoActivo,totsaldoPrevias,saldoPacOdonto,performance,descripcionultimaactucreada,fechaUltimaActuacionCreada,datosusoCTareas,datosusoOportunidades,datosusoPresupuestos,datosusoOdontograma,datosusoLexnet,totalSaldoDeudor,numClasesCobradas,numClasesPendientes,codsubusuultimaactuacion,totalCobrosTratamientosClientes,totalpdtefacturar,numTareasAbiertas,numTareasCerradas,numTareasTotales,numTareasAbiertasPorc,numTareasCerradasPorc,saldopendientefuturo,costerealcli,costetiemporealcli,otrosgastosrealcli,tiemporealcli,margenrealcli,margenxporcientorealcli,ingresorealcli,datosusoAccesoClientes,numVisitas,numDescartados,numInteresados,saldoTratamientos,saldoTratamientosMutua,fechaUltimaFactura,datosusoComisiones,nummodulosuso,importemodulospremium,fechaultimopresupuesto,importeultimopresupuesto,numclicks,numimpagados,fechaUltContactoResp,recobrosTotalEnt,recobrosTotalSal,recobrosIntAcum,recobrosSaldo,activo,incrementonumregistros,incrementohistorial,usocontrolhorario,usoformulariosweb,usomnsign,huecosDisponibles,documentoLOPD,usoImagenes,consentimientoInformado,contratoPrestaServ,fechaUltFirmaLOPD,plantillaLegal_1,plantillaLegal_2,plantillaLegal_3,plantillaLegal_4,facturadoAnterior,facturadoActual
1,4,0,1,1,,950.0000,950.0000,,,0,,,306,492,340,1,1,,,2021-12-24 00:00:00,6821,0,0,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,37,,,,,,0,0,Cita,,,0,,,,,0,,,,,,2022-08-01 00:00:00,,,,,0.0000,,,prueba,2022-03-23 00:00:00,,,,,,,,,2,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
2,4,0,0,1,,300.0000,300.0000,,,1,840,,35,492,492,0,1,,,2021-12-28 00:00:00,6008,0,0,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,50,,,,,,0,0,WhatsApp enviado: Aceptación Documento,,,0,,,,,0,,,,,,2022-09-01 00:00:00,,,,,0.0000,,,WhatsApp enviado: Aceptación Documento,2021-12-28 00:00:00,,,,,,,,,0,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
3,4,0,1,1,,700.0000,700.0000,,,0,,,306,492,355,0,4,,,2021-12-24 00:00:00,6031,0,1,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,43,,,,,,0,0,Cita,,,0,,,,,0,,,,,,2022-09-01 00:00:00,,,,,0.0000,,,Cita,2021-12-24 00:00:00,,,,,,,,,2,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
4,4,0,1,1,,275.0000,275.0000,,,0,,,306,492,330,0,1,,,2021-12-24 00:00:00,3850,0,0,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,41,,,,,,0,0,Cita,,,0,,,,,0,,,,,,2022-09-01 00:00:00,,,,,0.0000,,,Cita,2021-12-24 00:00:00,,,,,,,,,1,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
5,4,0,1,1,,250.0000,250.0000,,,0,,,309,492,492,2,1,,,2021-12-21 00:00:00,5992,0,0,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,47,,,,,,0,0,MN Sign Enviado: Recordatorio de Reunión,,,0,,,,,0,,,,,,2022-09-01 00:00:00,,,,,0.0000,,,123456,2022-02-01 00:00:00,,,,,,,,,0,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
6,4,0,1,1,,150.0000,150.0000,,,0,,,306,344,330,0,1,,,2021-12-24 00:00:00,6048,0,0,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,51,,,,,,0,0,Cita,,,0,,,,,0,,,,,,2022-09-01 00:00:00,,,,,0.0000,,,Cita,2021-12-24 00:00:00,,,,,,,,,4,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
10,4,0,1,1,,100.0000,100.0000,,,0,,,306,492,492,0,1,,,2021-12-29 00:00:00,4915,0,1,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,67,,,,,,0,0,WhatsApp enviado: Aceptación LOPD Whatsapp,,,0,,,,,0,,,,,,2022-09-19 00:00:00,,,,,-14970.0000,,,WhatsApp enviado: Aceptación LOPD Whatsapp,2021-12-29 00:00:00,,,,,,,,,0,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
11,4,0,1,1,,150.0000,150.0000,,,0,,,492,492,492,0,1,,,2021-09-16 00:00:00,649,0,0,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,33,,,,,,0,0,Termoterapia,,,0,,,,,0,,,,,,2022-09-19 00:00:00,,,,,0.0000,,,Termoterapia,2021-12-14 00:00:00,,,,,,,,,4,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
12,4,0,1,1,,700.0000,700.0000,,,0,,,306,492,410,0,1,,,2021-12-24 00:00:00,464,0,0,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,24,,,,,,0,0,Cita,,,0,,,,,0,,,,,,2022-09-19 00:00:00,,,,,0.0000,,,Cita,2021-12-24 00:00:00,,,,,,,,,4,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
13,4,0,1,1,,487.3600,487.3600,,,0,,,306,492,317,1,1,,,2021-12-23 00:00:00,575,0,0,,,,0,0,0,0,,,,,,,2022-10-26 11:33:39.123000,,,,,,,27,,,,,,0,0,Cita,,,0,,,,,0,,,,,,2022-09-19 00:00:00,,,,,0.0000,,,Recetas,2022-06-07 00:00:00,,,,,,,,,2,,0.0000,0,0,0,0 / 0,0 / 0,,0.0000,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,,
