id,idActuacion,idSubusu,expediente
9,1427,1,False
10,1427,2,False
8,1427,3,False
6,1427,4,False
7,1427,5,False
14,1428,1,False
15,1428,2,False
13,1428,3,False
11,1428,4,False
12,1428,5,False
19,1429,1,False
20,1429,2,False
18,1429,3,False
16,1429,4,False
17,1429,5,False
24,1430,1,False
25,1430,2,False
23,1430,3,False
21,1430,4,False
22,1430,5,False
29,1431,1,False
30,1431,2,False
28,1431,3,False
26,1431,4,False
27,1431,5,False
34,1432,1,False
35,1432,2,False
33,1432,3,False
31,1432,4,False
32,1432,5,False
39,1433,1,False
40,1433,2,False
38,1433,3,False
36,1433,4,False
37,1433,5,False
44,1434,1,False
45,1434,2,False
43,1434,3,False
41,1434,4,False
42,1434,5,False
49,1435,1,False
50,1435,2,False
48,1435,3,False
46,1435,4,False
47,1435,5,False
59,1437,1,False
60,1437,2,False
58,1437,3,False
56,1437,4,False
57,1437,5,False
61,1438,1,False
62,1439,1,False
63,1506,4,False
64,1506,5,False
65,1507,4,False
66,1507,5,False
67,1508,4,False
68,1508,5,False
69,1509,4,False
70,1509,5,False
71,1510,4,False
72,1510,5,False
73,1511,4,False
74,1511,5,False
75,1512,4,False
76,1512,5,False
77,1513,4,False
78,1513,5,False
81,1515,4,False
82,1515,5,False
83,1516,4,False
84,1516,5,False
85,1517,4,False
86,1517,5,False
87,1518,4,False
