id,nombre,valor,valorstring
1,horainiofic,28800,
2,horafinofic,72000,
3,rutaPortadaCarnet,,
4,rutaContraPortadaCarnet,,
5,rutaLogoPassBook,,
6,ColorSeleccionAgenda,3986065,
7,TiempoActualizarAgenda,5,
8,simmonedaplan,0,€
9,iBusqDupContacto,0,
10,maxSizeCorreoAdjunto,1,
11,iBusqDupCP,0,
12,mailcampo5expedientes,0,
13,ValoracionPublicarPorDefectoAnonimoNoAutorizadas,1,
14,ValoracionEnviarConfirmacion,0,
15,ctrlhorariocuenta,0,
16,ClavePublicaStripe,0,
17,ClavePrivadaStripe,0,
18,FormulariosClientesCuenta,0,
19,HorasEnlaceStripe,48,
20,codPredefAltaOportunidad,0,
21,AceptacionWhatsappConfigPlantilla,,
22,codPredefAltaServicio,0,
23,FirmarWebEnviarEmail,0,
24,codPredefCierreOportunidad,0,
25,codPredefCierreServicio,0,
26,colorOportunidadesPasadas,16777215,
27,colorOportunidadesFuturas,16777215,
28,colorServiciosPasados,16777215,
29,indexenviarcorreooportunidad,0,
30,colorServiciosFuturos,16777215,
31,icodopecorreooportunidad,0,
32,indexenviarcorreotarea,0,
33,ilineacorreooportunidad,0,
34,icodopecorreotarea,0,
35,ilineacorreotarea,0,
36,maxColsPerfil,3,
38,btnActuacionAccion,0,rapida
39,OperadoresCierreModulos,0,1
40,previcliinumexp,1,
41,idiomasFormularios,0,
42,btnActuacionDesplegableAccion,0,completa
43,EstadoCitaRealizada,0,Realizada
44,AdjuntosWhatsappConfigPlantilla,0,
45,ctasuplidos,0,
46,NumDiasRecordatorioAccesoTrabajadores,30,
47,AccesoWebTrabajadoresAuto,1,
49,CuadrosMando22.8,1,
50,citasLlamadas,0,99
51,CapturarAdjuntosBaseDatosRecomendacion,0,
52,CapturarAdjuntosCriterioRecomendacion,0,
53,CapturarAdjuntosSoloTareasAnho,,
56,formatoFechasPlantillas,0,dd/MM/yyyy
57,tipoImpresoraCobro,0,
58,tiempoActuDefectoCorreo,600,
59,mailcampo6expedientes,0,
60,mailcampo7expedientes,0,
61,mailcampo8expedientes,0,
62,TipoRectificacionAbono,,
63,MotivoRectificacionFEAbono,,
66,contadoAEfectivo,1,
68,MNActualizacion_VersionBD,20250910,25.7.3.0
69,procesadoPrevcobrosBancocliente,1,
70,MNActuPlantillas,1,
71,DesactivarTablaDireccion22.4,1,
72,configsV24_7,1,
73,Libros_Modelos_AEAT,1,
74,ActivarControlHorario24.11,1,
75,DesactivarConfGenTiposExp,1,
76,DesactivarInformes25.03,1,
77,ActivarEnvioFacturas25.03,1,
78,minutosAvisoTiempoCor,5,
79,MNActuEstadosCancelada,1,10/09/2025 9:47:39
80,ocultarMunicipio,1,
