id,tabla,campo,valor,bloqueado,tipo,orden,selec
543,PersoCampos,1,Horario,False,,234,
544,PersoCampos,1,Mala atención,False,,235,
545,PersoCampos,1,Instalaciones,False,,236,
546,PersoCampos,1,Precio incorrecto,False,,237,
547,PersoCampos,4,Luz,False,,238,
548,PersoCampos,4,Carlos,False,,239,
549,PersoCampos,4,Alejandra,False,,240,
550,PersoCampos,4,Cristina,False,,241,
551,PersoCampos,3,Sin Iniciar,False,,242,
552,PersoCampos,3,En Gestión,False,,243,
553,PersoCampos,3,Ilocalizable,False,,244,
554,PersoCampos,3,Resuelta Favorable,False,,245,
555,PersoCampos,3,Cliente Baja,False,,246,
556,PersoCampos,4,Clínica,False,,247,
557,PersoCampos,1,Retraso Entrega,False,,248,
558,PersoCampos,13,Diop,False,,249,
559,PersoCampos,13,Base,False,,250,
560,PersoCampos,50,Ortoforia,False,,251,
561,PersoCampos,50,Exoforia,False,,252,
562,PersoCampos,50,Endoforia,False,,253,
563,PersoCampos,50,Hiperforia,False,,254,
564,PersoCampos,50,Hipoforia,False,,255,
565,PersoCampos,55,Reactivas,False,,256,
566,PersoCampos,55,No Reactivas,False,,257,
567,PersoCampos,56,Párpados. Ptosis,False,,258,
568,PersoCampos,56,Pterigium,False,,259,
569,PersoCampos,56,Ojo Seco. Test Schimer,False,,260,
570,PersoCampos,56,Alt. Pupila,False,,261,
571,PersoCampos,56,Opacidad Medios,False,,262,
572,PersoCampos,56,Úlceras Corneales,False,,264,
573,PersoCampos,56,Uveitis,False,,265,
604,PersoCampos,178,Ud,,,604,
605,PersoCampos,178,m,,,605,
606,PersoCampos,178,m2,,,606,
607,PersoCampos,178,kg,,,607,
1584,PersoCampos,604,1,,,1584,
1585,PersoCampos,604,2,,,1585,
1586,PersoCampos,604,3,,,1586,
1587,PersoCampos,604,4,,,1587,
1588,PersoCampos,604,5,,,1588,
1589,PersoCampos,604,6 o más,,,1589,
1590,PersoCampos,605,1,,,1590,
1591,PersoCampos,605,2,,,1591,
1592,PersoCampos,605,3,,,1592,
1593,PersoCampos,605,4,,,1593,
1594,PersoCampos,605,5 o más,,,1594,
1595,PersoCampos,606,Exterior,,,1595,
1596,PersoCampos,606,Interior,,,1596,
1597,PersoCampos,607,Sin electrodomésticos ni muebles,,,1597,
1598,PersoCampos,607,Sin electrodomésticos y con muebles,,,1598,
1599,PersoCampos,607,Con electrodomésticos y sin muebles,,,1599,
1600,PersoCampos,607,Con electrodomésticos y con muebles,,,1600,
1601,PersoCampos,608,Calefacción,,,1601,
1602,PersoCampos,608,Garaje,,,1602,
1603,PersoCampos,608,Trastero,,,1603,
1604,PersoCampos,608,Balcón,,,1604,
1605,PersoCampos,608,Terraza,,,1605,
1606,PersoCampos,608,Piscina,,,1606,
1607,PersoCampos,608,Aire acondicionado,,,1607,
1608,PersoCampos,613,Sí,,,1608,
1609,PersoCampos,613,No,,,1609,
1610,PersoCampos,615,Sí,,,1610,
1611,PersoCampos,615,No,,,1611,
1612,PersoCampos,616,Sí,,,1612,
1613,PersoCampos,616,No,,,1613,
1614,PersoCampos,617,Sí,,,1614,
1615,PersoCampos,617,No,,,1615,
1859,clientes,departamento,Hombre,False,,1,
1860,clientes,departamento,Mujer,False,,2,
1861,clientes,cargo,No,False,,3,
1862,clientes,cargo,Si,False,,4,
1863,clientes,origen,Clinica,False,,5,
1864,clientes,origen,Domicilio,False,,6,
1865,clientes,origen,Mixto,False,,7,
1866,clientes,zona,Seguro,False,,8,
1867,clientes,zona,Particular,False,,9,
1868,clientes,zona,Convenio,False,,10,
1869,clientes,zona,Mixto,False,,11,
1870,clientes,empresa,Si,False,,12,
1871,clientes,empresa,No,False,,13,
1872,clientes,origen,caneiro,False,,14,
1873,clientes,origen,poligono,False,,15,
1874,clientes,zona,CYCLOPS,False,,16,
1875,clientes,zona,UMI,False,,17,
1876,clientes,zona,IIP,False,,18,
1877,clientes,zona,MULTIASISTENCIA,False,,19,
1878,clientes,sector,DIOESIS,False,,20,
1879,clientes,sector,PRUEBA,False,,21,
1880,clientes,zona,DIOCESIS,False,,22,
1881,clientes,origen,DIOCESIS,False,,23,
1882,clientes,zona,ADESLAS,False,,24,
1883,clientes,zona,ADESLAS,False,,25,
1884,pacientes,origen,Clínica,False,,26,
1885,pacientes,origen,Domicilio,False,,27,
1886,pacientes,empresa,Si,False,,28,
1887,pacientes,empresa,No,False,,29,
1888,pacientes,departamento,Hombre,False,,30,
1889,pacientes,departamento,Mujer,False,,31,
1890,clientes,TipoFichero,General,False,,32,
1891,clientespotenciales,TipoFichero,General,False,,34,
1892,otros,TipoFichero,Colaborador,False,,39,
1893,otros,TipoFichero,Partner,False,,40,
1894,otros,TipoFichero,Agente Comercial,False,,41,
1895,otros,TipoFichero,Franquicia,False,,42,
1896,otros,TipoFichero,General,False,,43,
1897,pacientes,TipoFichero,General,False,,44,
1898,alumnos,TipoFichero,General,False,,45,
1899,compañias,TipoFichero,General,False,,46,
1900,mascotastutores,TipoFichero,General,False,,47,
1901,mutuas,TipoFichero,General,False,,48,
1902,voluntarios,TipoFichero,General,False,,49,
1903,financiadores,TipoFichero,General,False,,50,
1904,terceraedad,TipoFichero,General,False,,51,
1905,otros,TipoFichero,Tercero,False,,54,
1906,trabajadores,TipoFichero,Contrato Temporal,False,,55,
1907,otros,TipoFichero,Tercero,False,,58,
1908,otros,TipoFichero,Tercero,False,,62,
1909,clivencimientos,tipopoliza,Nueva,False,,64,
1910,clivencimientos,tipopoliza,Reemplazo,False,,65,
1911,clivencimientos,tipopoliza,Traspaso,False,,66,
1912,clivencimientos,situacionpoliza,Solicitada,False,,67,
1913,clivencimientos,situacionpoliza,En Vigor,False,,68,
1914,clivencimientos,situacionpoliza,Anulada,False,,69,
1915,clivencimientos,situacionpoliza,Suspensión,False,,70,
1916,poderes,ubicacionpoder,En el Abogado,False,,71,
1917,poderes,ubicacionpoder,En el Procurador,False,,72,
1918,poderes,ubicacionpoder,En el Juzgado,False,,73,
1919,vacunas,pestañas,General,False,,74,
1920,pacientes,TipoFichero,FISIOTERAPIA,False,,75,
1921,pacientes,TipoFichero,PODOLOGÍA,False,,76,
1922,pacientes,TipoFichero,PSICOLOGÍA,False,,77,
1923,pacientes,TipoFichero,OSTEOPATÍA,False,,78,
1924,pacientes,TipoFichero,NUTRICIONISTA,False,,79,
1925,pacientes,TipoFichero,MEDICINA GENERAL,False,,80,
1926,pacientes,TipoFichero,ESTÉTICA,False,,81,
1927,ModuloImagen,VistaPrevia0,1,False,,82,
1928,ModuloImagen,MultiFicha0,1,False,,83,
1929,ModuloImagen,ModoPresentacion0,1,False,,84,
1930,ModuloImagen,TiempoPresentacion0,5,False,,85,
1931,pacientes,campo6,Premium,False,,86,
1932,pacientes,campo6,Básica,False,,87,
1933,pacientes,TipoFichero,PEDIATRÍA,False,,88,
1934,documentos,tipodocumento,Fotografía,False,,89,
1935,documentos,tipodocumento,Radiografía,False,,90,
1936,documentos,tipodocumento,Pictograma,False,,91,
1937,documentos,campo1,Estética,False,,92,
1938,documentos,campo1,Fisioterapia,False,,93,
1939,documentos,campo1,Nutrición,False,,94,
1940,documentos,campo1,Medicina General,False,,95,
1941,documentos,campo1,Podología,False,,96,
1942,documentos,campo2,Paciente,False,,97,
1943,documentos,campo2,Proveedor,False,,98,
1944,documentos,tipodocumento,Documento,False,,99,
1945,documentos,tipodocumento,Receta,False,,100,
1946,documentos,campo3,DNI,False,,101,
1947,documentos,campo3,Curriculum,False,,102,
1948,documentos,campo3,Factura,False,,103,
1949,documentos,campo3,Dieta,False,,104,
1950,documentos,campo3,Análisis,False,,105,
1951,documentos,campo3,Justificante,False,,106,
1952,trabajadores,TipoFichero,Contrato Indefinido,False,,107,
1953,trabajadores,TipoFichero,Contrato en Prácticas,False,,108,
1954,documentos,campo3,Catálogo,False,,109,
1955,ControlesMedicosSeg,localizacion,Pie Izquierdo,False,,110,
1956,ControlesMedicosSeg,origen,Infección,False,,111,
1957,ControlesMedicosSeg,origen,lesión,False,,112,
1958,ControlesMedicosSeg,localizacion,Rodilla Derecha,False,,113,
1959,bonos,estado,Presupuestado,True,,114,
1960,bonos,estado,Vendido,True,,115,
1961,bonos,estado,Consumido,True,,116,
1962,columnasPerfil,columna1,,False,,117,
1963,Perfil,combo1,Página Web,False,,120,
1964,Perfil,combo1,Redes Sociales,False,,121,
1965,Perfil,combo1,Anuncio local,False,,122,
1966,Perfil,combo11,Sí,False,,124,
1967,Perfil,combo11,No,False,,125,
1968,Perfil,combo12,Sí,False,,126,
1969,Perfil,combo12,No,False,,127,
1970,Perfil,combo13,Si,False,,128,
1971,Perfil,combo13,No,False,,129,
1972,Perfil,combo22,Si,False,,133,
1973,Perfil,combo22,No,False,,134,
1974,Perfil,comboMulti14,Consultas,False,,137,
1975,Perfil,comboMulti14,Tratamiento corporal,False,,138,
1976,Perfil,comboMulti14,Tratamiento facial,False,,139,
1977,pacientes,zona,Web,False,,140,
1978,pacientes,zona,Otros,False,,141,
1979,Perfil,combo1,Comercial,False,,143,
1980,clientespotenciales,zona,Web 1,False,,144,
1981,clientespotenciales,zona,PRensa 2,False,,145,
1982,formacobro,formacobrodefecto,Cheque,False,,162,
1983,pedidos,campo3,S?,False,,165,
1984,pedidos,campo3,No,False,,166,
1985,pedido,campo3,S?,False,,167,
1986,pedido,campo3,No,False,,168,
1987,controlasistencia,tipoact,Horario,False,,169,
1988,Perfil,comboMulti4,Pa 1,False,,170,
1989,Perfil,comboMulti4,Pa 2,False,,171,
1990,Perfil,combo15,Alta,False,,172,
1991,Perfil,combo15,Media,False,,173,
1992,Perfil,combo15,Baja,False,,174,
1993,Perfil,combo16,No,False,,175,
1994,Perfil,combo16,Si,False,,176,
